bike_station_location,name,main_category,address,distance_away
"45.5286366,-122.6820195",Sisters Coffee Company,Coffee Shop,1235 NW Marshall St,312
"45.5282777,-122.6766282",Wilfs Restaurant & Bar,New American Restaurant,800 NW 6th Ave,41
"45.5282777,-122.6766282",Pho Van Fresh,Vietnamese Restaurant,1012 NW Glisan St,420
"45.5282777,-122.6766282",Lan Su Chinese Garden,Chinese Restaurant,239 NW Everett St,416
"45.5282777,-122.6766282",Cool Moon Ice Cream,Burger Joint,1105 NW Johnson St,444
"45.5282777,-122.6766282",Ground Kontrol Classic Arcade,Amusement Park,511 NW Couch St,474
"45.5282777,-122.6766282",Break Bread,Deli,1106 NW Hoyt St,471
"45.5282777,-122.6766282",Teardrop Lounge,Cocktail Bar,1015 NW Everett St,523
"45.5282777,-122.6766282",Fuego Burritos,Burrito Restaurant,NW 12TH Ave,547
"45.5282777,-122.6766282",Oblation Papers & Press,Retail,516 NW 12th Ave,538
"45.5282777,-122.6766282",Deschutes Brewery Portland Public House,Bar,210 NW 11th Ave,588
"45.53211645,-122.6986304",Casa Del Matador,American Restaurant,1438 NW 23rd Ave,127
"45.53211645,-122.6986304",Stepping Stone Cafe,Café,2390 NW Quimby St,205
"45.53211645,-122.6986304",Lela's Bistro,Vietnamese Restaurant,1524 NW 23rd Ave,191
"45.53211645,-122.6986304",Breakside Brewery,Beer Bar,1570 NW 22nd Ave,262
"45.53211645,-122.6986304",New Seasons Market,Grocery Store,2170 NW Raleigh St,280
"45.53211645,-122.6986304",Good Coffee,Café,2175 NW Raleigh St,327
"45.53211645,-122.6986304",Salt & Straw,Ice Cream Parlor,838 NW 23rd Ave,355
"45.53211645,-122.6986304",St Honore Bakery,Bakery,2335 NW Thurman St,392
"45.53211645,-122.6986304",Bantam Tavern,Cocktail Bar,922 NW 21st Ave,439
"45.53211645,-122.6986304",Papa Haydn,Dessert Shop,701 NW 23rd Ave,485
"45.5475928,-122.6667604",New Seasons Market,Grocery Store,3445 N Williams Ave,59
"45.5475928,-122.6667604",The People's Pig,BBQ Joint,3217 N Williams Ave,131
"45.5475928,-122.6667604",Life of Pie Pizza,Pizzeria,3632 N Williams Ave,207
"45.5475928,-122.6667604",Eem,Cocktail Bar,3808 N Williams Ave,344
"45.5475928,-122.6667604",Dawson Park,Playground,North Stanton Street and Williams,360
"45.5475928,-122.6667604",Crisp Restaurant & Catering,Salad Restaurant,3901 N Williams Ave,369
"45.5475928,-122.6667604",To Summy Od Myoptic Optometry Dr Summy To Optometrist Portland,Ophthalmologist,3978 N Williams Ave,481
"45.5475928,-122.6667604",Popeye's Louisiana Kitchen,Fast Food Restaurant,3120 NE M L King Blvd,467
"45.5475928,-122.6667604",Cedo's Falafel and Gyros,Falafel Restaurant,3901 NE M L King Blvd,531
"45.5475928,-122.6667604",Either/Or,Wine Bar,4003 N Williams Ave,505
"45.5027677,-122.6714408",Starbucks,Coffee Shop,2730 S Moody Ave,65
"45.5027677,-122.6714408",Flying Elephants,American Restaurant,2730 S Moody Ave,16
"45.5027677,-122.6714408",Cha Cha CHA Taqueria Moody,Mexican Restaurant,3135 S Moody Ave,246
"45.5027677,-122.6714408",Juniper,Dining and Drinking,SW Washington St,292
"45.5027677,-122.6714408",OHSU Center for Health and Healing,Health and Medicine,3303 S Bond Ave,434
"45.5027677,-122.6714408",Elizabeth Caruthers Park,Park,3508 S Moody Ave,591
"45.5027677,-122.6714408",Poet's Beach,Beach,"Portland, Oregon",470
"45.5027677,-122.6714408",Al Hawr,Lebanese Restaurant,3500 S River Pkwy,591
"45.5027677,-122.6714408",South Waterfront Park,Park,1814-1816 SW River Pkw,670
"45.5027677,-122.6714408",Dough Zone - Downtown Portland,Dumpling Restaurant,1910 S River Dr,600
